    table_name,source_rows_count,dest_rows_count,qc_status,ignore_rows_count,reason,is_phi
    L3TASKSTATUS,122,122,True,0,,True
    MIKDestination,5,5,True,0,,False
    MIKEventLog,573,573,True,0,,True
    ML_MERGEGLOBALS,2,2,True,0,,True
    MIKType,31,31,True,0,,False
    MRUCUSTOMLISTS,1796,1796,True,0,,False
    MS_D02C_DELTA,1072,1072,True,0,,False
    ORDERDEFAULTS,11,11,True,0,,False
    OBSNORM,98,98,True,0,,False
    PatientVisitProcsAgg,687551,0,True,687551,,True
    PatientVisitInsurance,435003,0,True,435003,,True
    PatientVisitFilingConditionCodes,269917,0,True,269917,,True
    RcopiaMessageStatusReason,28,28,True,0,,True
    SERVPROV,2740,2740,True,0,,True
    StatementsCriteriaGuarantor,49448,49448,True,0,,True
    TransactionDistributions,3859525,3859525,True,0,,True
    VisitTransactions,863824,0,True,863824,,True
